llgname,textdate,subscribers
Mendi Urban,Mar15,373
Mendi Urban,Mar16,501
Mendi Urban,Mar17,289
Mendi Urban,Mar18,217
Mendi Urban,Mar19,324
Mendi Urban,Mar20,298
Mendi Urban,Mar21,307
Mendi Urban,Mar22,378
Mendi Urban,Mar23,368
Mendi Urban,Mar24,268
Mendi Urban,Mar25,217
Mendi Urban,Mar26,252
Mendi Urban,Mar27,140
Nebilyer Rural,20to25,0
Nebilyer Rural,Feb26,116
Nebilyer Rural,Feb27,123
Nebilyer Rural,Feb28,78
Nebilyer Rural,Mar01,109
Nebilyer Rural,Mar02,73
Nebilyer Rural,Mar03,66
Nebilyer Rural,Mar04,82
Nebilyer Rural,Mar05,76
Nebilyer Rural,Mar06,77
Nebilyer Rural,Mar07,75
Nebilyer Rural,Mar08,96
Nebilyer Rural,Mar09,64
Nebilyer Rural,Mar10,52
Nebilyer Rural,Mar11,48
Nebilyer Rural,Mar12,72
Nebilyer Rural,Mar13,67
Nebilyer Rural,Mar14,67
Nebilyer Rural,Mar15,81
Nebilyer Rural,Mar16,131
Nebilyer Rural,Mar17,133
Nebilyer Rural,Mar18,103
Nebilyer Rural,Mar19,131
Nebilyer Rural,Mar20,72
Nebilyer Rural,Mar21,61
Nebilyer Rural,Mar22,115
Nebilyer Rural,Mar23,122
Nebilyer Rural,Mar24,94
Nebilyer Rural,Mar25,101
Nebilyer Rural,Mar26,51
Nebilyer Rural,Mar27,45
Nipa Rural,20to25,0
Nipa Rural,Feb26,2
Nipa Rural,Feb27,0
Nipa Rural,Feb28,0
Nipa Rural,Mar01,0
Nipa Rural,Mar02,0
Nipa Rural,Mar03,0
Nipa Rural,Mar04,102
Nipa Rural,Mar05,106
Nipa Rural,Mar06,126
Nipa Rural,Mar07,109
Nipa Rural,Mar08,63
Nipa Rural,Mar09,89
Nipa Rural,Mar10,124
Nipa Rural,Mar11,18
Nipa Rural,Mar12,64
Nipa Rural,Mar13,34
Nipa Rural,Mar14,88
Nipa Rural,Mar15,71
Nipa Rural,Mar16,103
Nipa Rural,Mar17,115
Nipa Rural,Mar18,0
Nipa Rural,Mar19,89
Nipa Rural,Mar20,93
Nipa Rural,Mar21,101
Nipa Rural,Mar22,135
Nipa Rural,Mar23,111
Nipa Rural,Mar24,120
Nipa Rural,Mar25,55
Nipa Rural,Mar26,28
Nipa Rural,Mar27,0
Nomad Rural,20to25,0
Nomad Rural,Feb26,1
Nomad Rural,Feb27,0
Nomad Rural,Feb28,0
Nomad Rural,Mar01,1
Nomad Rural,Mar02,1
Nomad Rural,Mar03,0
Nomad Rural,Mar04,0
Nomad Rural,Mar05,1
Nomad Rural,Mar06,0
Nomad Rural,Mar07,0
Nomad Rural,Mar08,0
